No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Bishwavnathganj,IV,AD(S),Rakesh Kumar Verma Alias Dr.R.K.Verma,81899,41.65,INC,Sanjay Pandey,58541,29.77,23358,11.88,BSP,Premanand Tripathi,33878,17.23,IND,Rakesh Kumar,5830,2.97,CPI,Upendra Narayan,2627,1.34,1951,0.99,11897,6.05,196623,RJP,Sushil Kumar,2053,1.04,LGP,Rajendra Kumar Dubey,1632,0.83,IND,Ram Lakhan Chaturvedi,1616,0.82,VIP,Abdul Latif,1591,0.81,BMUP,Nandlal Yadav,1238,0.63,IND,Indrajeet,1156,0.59,IND,Anil Kumar,984,0.50,RLD,Rakesh Kumar,873,0.44,NCP,Rajkumar,754,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Pratapgarh,IV,AD(S),Sangam Lal Gupta,80828,43.65,SP,"Nagendra Singh "" Munna Yadav""",46274,24.99,34554,18.66,BSP,Ashok Tripathi,41750,22.55,IND,Shiv Ram Shukla,3426,1.85,IND,Pramod Kumar,3174,1.71,2191,1.18,7536,4.07,185179,LD,Vinod Kumar,1429,0.77,RSP,Shrawan Kumar,1233,0.67,IND,Yogendra Kumar,1053,0.57,RLD,Dharmendra,989,0.53,SHS,Atma Prakash,846,0.46,BMUP,Ram Dayal,834,0.45,IND,Paritosh Kumar,415,0.22,PPP,Deepmala Shrivastav,411,0.22,IND,Idrakar Mishra,326,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Patti,IV,BJP,Rajendra Pratap Singh Alias Moti,75011,36.08,SP,Ram Singh,73538,35.37,1473,0.71,BSP,Kunwar Shakti Singh,46427,22.33,NISHAD,Vijay,3025,1.45,CPI,Lalit Narayan Mishra,1846,0.89,2244,1.08,5832,2.80,207923,RLD,Chandrabali Yadav,1088,0.52,IND,Yogini Nirmala Devi,949,0.46,SUCI(C),Ram Samujh Maurya,809,0.39,IND,Subhash Chandra,705,0.34,LD,Gunakar Pandey,635,0.31,AWSP,Kant Lal,620,0.30,RBCP,Ram Lale,549,0.26,BMUP,Ramshiromani,477,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Raniganj,IV,BJP,Abhay Kumar Alias Dhiraj Ojha,67031,37.83,BSP,Shakeel Ahmad Khan,58022,32.75,9009,5.08,SP,Prof.Shivakant Ojha,37816,21.34,NISHAD,Shreenath,2052,1.16,IND,Prananjany,1874,1.06,1259,0.71,9136,5.16,177190,SSAP,Anil Yadav,1379,0.78,IND,Shashi Bhusan,1340,0.76,RLD,Ram Shiromani Shukla,1209,0.68,CPI,Tribhuwan,1008,0.57,IND,Dinesh Pandey,818,0.46,IND,Ashok Kumar,657,0.37,BMUP,Narendra Kumar,629,0.35,BKS,Anurag Kumar,488,0.28,IND,Dheeraj,418,0.24,LD,Awadhesh,411,0.23,IND,Sushil Kumar,313,0.18,SUCI(C),Parasnath,241,0.14,PSSP,Ram Asrey,225,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Sirathu,IV,BJP,Sheetla Prasad,78621,40.07,SP,Vachaspati,52418,26.72,26203,13.35,BSP,Saeedurrab,43782,22.32,BMUP,Ashish Kumar Maurya,4453,2.27,IND,Vishwajeet Singh,2396,1.22,1806,0.92,12710,6.48,196186,CPI,Shiv Singh Yadav,2179,1.11,IND,Mithlesh Kumar,1641,0.84,RLD,Gopal Singh,1580,0.81,SJRP,Sangita Devi,1181,0.60,IND,Chheddoo,1147,0.58,PSP,Hari Lal,1118,0.57,IND,Nafees Ahmad,887,0.45,SHS,Sushil Kumar,788,0.40,BKRP,Laakhan Singh Rajpasi,787,0.40,LD,Shashi Bhushan,702,0.36,BhKD,Jetvan Pratap,700,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Manjhanpur (SC),IV,BJP,Lal Bahadur,92818,41.50,BSP,Indrajeet Saroj,88658,39.64,4160,1.86,SP,Hemant Kumar Tunnu,33717,15.08,BMUP,Jaykaran,1604,0.72,IND,Bal Chandra Gautam,1473,0.66,3949,1.77,1414,0.63,223633,BKRP,Vikram Singh Rajpasi,1414,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Chail,IV,BJP,Sanjay Kumar,85713,42.15,INC,Talat Azim,45597,22.42,40116,19.73,BSP,Mohd Asif Jafri,43776,21.53,IND,Shikha Saroj,6260,3.08,IND,Subhash Chandra,4557,2.24,1352,0.66,16100,7.92,203355,IND,Roopchand,2625,1.29,BMUP,Narendra Kumar Maurya,2432,1.20,RJDP,Arun Kumar,1799,0.88,RKMP,Harihar Singh,1635,0.80,IND,Vijay Kumar Ramdas Ravidas,1632,0.80,IND,Mohd. Farooque,923,0.45,JKP,Lalbahadur,854,0.42,BKRP,Chandrika Prasad Rajpasi,699,0.34,RBCP,Asharfi,648,0.32,SJRP,Tejsingh Varma,621,0.31,RPI(A),Ram Bishal Paswan,611,0.30,BSVP,Qamar Saeed,581,0.29,BSCP,Dharmendra Dutt Pandey,550,0.27,RaJaPa,Manoj Kumar Tripathi,490,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Phaphamau,IV,BJP,Vikramajeet,83239,40.55,SP,Ansar Ahamad,57254,27.89,25985,12.66,BSP,Manoj,51983,25.32,IND,Raj Kumar,3171,1.54,LD,Chandrika Prasad Sahu,1503,0.73,2571,1.25,5545,2.70,205266,RLD,Ramsajiwan,1417,0.69,BSAP,Sudha Patel,857,0.42,IND,Awanish Pandey,833,0.41,IND,Kamlesh Kumar,621,0.30,YVP,Pawan Tripathi,617,0.30,RPI,Satendra Prasad,612,0.30,BAP,Raghunath,588,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Soraon (SC),IV,AD(S),Jamuna Prasad,77814,36.59,BSP,Geeta Devi,60079,28.25,17735,8.34,SP,Satyaveer,54345,25.55,BJP,Surendra Kumar,6522,3.07,IND,Ajay Kumar,2907,1.37,2460,1.16,8552,4.02,212679,BRJ,Krishan Kumar,1285,0.60,RSP,Manoj,1208,0.57,BKRP,Sunil Kumar Rajpasi,1095,0.51,IND,Ashok Kumar,976,0.46,CPIM,Phool Chandra,932,0.44,INC,Javahar Lal Divakar,847,0.40,BAP,Shyam Lal,771,0.36,PSSP,Munna,738,0.35,YVP,Lilawati,700,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Phulpur,IV,BJP,Praveen Kumar Singh,93912,41.94,SP,Mansoor Alam,67299,30.05,26613,11.89,BSP,Mohammed Masroor Shaikh,50421,22.52,IND,Ram Kishun Singh,2048,0.91,PMSP,Ashok Kumar Dubey,1596,0.71,1614,0.72,7043,3.15,223933,ABHM,Vinod Kumar Pandey,1147,0.51,IND,Vinay Kumar Bhaskar,922,0.41,NCP,Jawahar Lal,911,0.41,JAM,Manju Maurya,879,0.39,AYP,Anil Kumar Shukla,782,0.35,RLD,Pramod Chandra,747,0.33,PSP,Tahseen Ahamad,628,0.28,IND,Shiv Chandra,566,0.25,PMP,Vinod Kumar,461,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Pratappur,IV,BSP,Mohd Mujtaba Siddqui,66805,32.17,AD(S),Karan Singh,64151,30.89,2654,1.28,SP,Vijama Yadav,51645,24.87,IND,Santosh Kumar,7264,3.50,IND,Krishna Lal,4658,2.24,2916,1.40,10234,4.93,207673,SSAP,Pushpraj,2020,0.97,IND,Brijesh Kumar,1640,0.79,IND,Ratna Devi,1393,0.67,RLD,Suresh Kumar,1217,0.59,IND,Ram Kailash,1156,0.56,IND,Pankaj Kumar Singh,1100,0.53,RUC,Husain Mohammad Hadees,686,0.33,IND,Manoj Kumar,630,0.30,PSSP,Saiyyad Wasi Ahmad,392,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Handia,IV,BSP,Hakim Lal,72446,35.84,AD(S),Pramila Devi,63920,31.62,8526,4.22,SP,Nidhi Yadav,55403,27.41,IND,Awadhesh Kumar,2995,1.48,BAP,Mithai Lal,1448,0.72,2414,1.19,3497,1.73,202123,RLD,Vijay Bahadur,1349,0.67,IND,Prabhat Tripathi,973,0.48,NSD,Sneh Lata Yadav,588,0.29,IND,Mangala Prasad,587,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Meja,IV,BJP,Neelam Karwariya,67807,37.42,SP,Ram Sewak Singh,47964,26.47,19843,10.95,BSP,Surendra,44622,24.63,NISHAD,Sarvesh Chandra,11535,6.37,IND,Satyendra Singh,1434,0.79,2459,1.36,5363,2.96,181184,IND,Surya Bhan Singh,1327,0.73,RLD,Hansraj,675,0.37,IND,Vimal Chandra,546,0.30,IND,Anil Kumar,542,0.30,DSP,Lallan,526,0.29,BMUP,Krishnakant,509,0.28,IND,Mahendra Kumar Rawat,492,0.27,LGP,Janardan,278,0.15,IND,Amit Raj Anand,248,0.14,PSSP,Ravindra Kumar,220,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Karachhana,IV,SP,Ujjwal Raman Singh,80806,40.66,BJP,Piyush Ranjan,65782,33.10,15024,7.56,BSP,Deepak Patel,40998,20.63,IND,Babita Singh,1522,0.77,RLD,Rajendra Singh,1170,0.59,2308,1.16,6148,3.09,198734,IND,Suvedar,1095,0.55,IND,Sujeet,1094,0.55,BMUP,Rajesh,786,0.40,IND,Pramod Singh Singh,729,0.37,IND,Vimal Kumar Dwivedi,716,0.36,IND,Ajeet Kumar Patel,547,0.28,IND,Manoj Kumar Singh,357,0.18,RPI,Jai Prakash Mishra,304,0.15,BKSL,Kanchan Devi,292,0.15,IND,Ajay Kumar,228,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Allahabad West,IV,BJP,Sidharth Nath Singh,85518,43.04,SP,Richa Singh,60182,30.29,25336,12.75,BSP,Pooja Pal,40499,20.38,IND,Hasan Akhlaq,4018,2.02,NISHAD,Chandra Dev Singh,2974,1.50,1659,0.83,3842,1.93,198692,IND,Reeta Devi,1000,0.50,RLD,Sunil Kumar,999,0.50,IND,Rajendra Kumar,435,0.22,IND,Ganesh Ji,368,0.19,VP,Raj Kumar Srivastava,307,0.15,AwVP,Nadim Ahamad,280,0.14,IND,Nizamuddin,250,0.13,PSSP,Dakkhini Prasad,203,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Allahabad North,IV,BJP,Harshvardhan Bajpai,89191,51.48,INC,Anugrah Narain Singh,54166,31.27,35025,20.21,BSP,Amit,23388,13.50,IND,Badal Chatterjee,980,0.57,IND,Dhiraj Kumar Agrawal,557,0.32,659,0.38,4301,2.48,173242,RPI(A),Ajay Kumar,492,0.28,IND,Praveen Kumar Srivastava,445,0.26,IND,Indresh Kumar Sonkar,443,0.26,IND,Pushpendra Kumar,433,0.25,BKRP,Sunil Kumar Gupta,256,0.15,IND,Shaurya Deep,252,0.15,IND,Shailendra Kumar Prajapati,225,0.13,IND,Abhinav Srivastava,214,0.12,IND,Anshu Tripathi,197,0.11,SKLP,Ashutoosh Bajpai,195,0.11,SHS,Vindeshwari Prasad,176,0.10,LGP,Mrigank Shekhar Singh,133,0.08,IND,Madhu Singh,115,0.07,IND,Rajesh Yadav,112,0.06,BAP,Umesh Chandra,107,0.06,BMUP,Sunil Kumar,102,0.06,IND,Ramakant,99,0.06,IND,Bhaiya Ram Yadav,87,0.05,IND,Ritesh Kumar,80,0.05,RPS,Sharad Khare,75,0.04,RBP,Udai Bhan Srivastava,63,0.04,,,,
263,Allahabad South,IV,BJP,Nand Gopal Gupta Nandi,93011,52.53,SP,Parvez Ahmad,64424,36.38,28587,16.15,BSP,Masooq Khan,12162,6.87,PECP,Aqeelur Rahman,872,0.49,AIMEIM,Syed Afzaal Muzib,868,0.49,665,0.38,5061,2.86,177063,RAD,Satish Kesharwani,801,0.45,IND,Shiv Sharan,672,0.38,CPI,Amir Hbib,583,0.33,IND,Savita Sahoo,429,0.24,RLD,Arunesh Jaiswal,396,0.22,RPI,Satyendra Kumar Kushwaha,277,0.16,NISHAD,Rama Nand Shukla,275,0.16,PSP,Rais Ahmad Khan,242,0.14,SHS,Gaurav Pandey,223,0.13,IND,Sanjay Singh,209,0.12,BMUP,Ramesh Chandra Bhartiya,194,0.11,IND,Devendr Kumar Tiwari,183,0.10,PSSP,Samar Bahadur Sharma,168,0.09,SBP,Ramesh Chandra,160,0.09,AYP,Kamala Prasad,126,0.07,IND,Shiv Prasad Verma,123,0.07,,,,,,,,,,,,,,,,,,,,,,,,
264,Bara (SC),IV,BJP,Dr. Ajai Kumar,79209,41.69,SP,Ajay,45156,23.77,34053,17.92,BSP,Ashok Kumar Gautam,37052,19.50,NISHAD,Phool Chandra,10704,5.63,IND,Hansraj,3729,1.96,2327,1.22,11797,6.21,189974,CPI,Ayodhya Prasad,2573,1.35,INC,Suresh Kumar,2045,1.08,IND,Rajkumar,1452,0.76,RLD,Sulochna,1107,0.58,BMUP,Lal Chandra Bharti,1092,0.57,IND,Balram,1075,0.57,LD,Rajesh Kumar,770,0.41,IND,Amit Kumar,602,0.32,RSP,Shivbhajan,571,0.30,JHJBP,Lalit Kumar Gond,510,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Koraon (SC),IV,BJP,Rajmani,100427,51.18,INC,Ram Kripal,46731,23.81,53696,27.37,BSP,Raj Bali Jaisal,26056,13.28,IND,Dharm Raj,5134,2.62,SP,Ram Dev,3958,2.02,3208,1.63,10713,5.46,196227,BMUP,Shiv Janak,2214,1.13,CPIM,Chiraunji Lal,1861,0.95,BSCP,Akhilesh Kumar,1285,0.65,IND,Tejbali,1244,0.63,AASP,Ravi Shankar,1136,0.58,JANP,Rang Lal,1083,0.55,RLD,Mayawati,983,0.50,CPI(ML)(L),Pancham Lal,907,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Kursi,IV,BJP,Sakendra Pratap Verma,108403,41.26,SP,Fareed Mahfooz Kidwai,79724,30.34,28679,10.92,BSP,V.P.Singh Verma,51091,19.45,PECP,Sarvar Ali,8329,3.17,IND,Ch.Talib Najib Kokab,4381,1.67,1460,0.56,9343,3.56,262731,RLD,Amar Singh,2445,0.93,CPI,Vinod Kumar Yadav,1985,0.76,IND,Mo.Haroon,1000,0.38,IND,Anita Singh,886,0.34,BhKD,Omprakash Das,817,0.31,BMUP,Ramoo Lal Verma,602,0.23,RaJaPa,Mahendra Pal Singh S/O Baratilal,456,0.17,HAP,Mahendra Pal Singh S/O Swami Nath,432,0.16,Dr.BAD,Ram Kishor,402,0.15,ADSP,Neelam Saini,318,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Ram Nagar,III,BJP,Sharad Kumar Awasthi,88937,39.87,SP,Arvinda Kumar Singh 'Gope',66210,29.68,22727,10.19,BSP,Hafeez Bharti,53891,24.16,PECP,Raj Luxmi Verma,3137,1.41,RLD,Pushpa Shahi,1552,0.70,2094,0.94,7256,3.25,223077,IND,Gulam Mustafa,1457,0.65,AIMEIM,Shahnawaz,1196,0.54,IND,Sandeep Singh,1061,0.48,RaJaPa,Amar Singh,944,0.42,SHS,Suresh Pathak,880,0.39,BMUP,Waris Ali,533,0.24,JHSP,Ramesh Chandra,435,0.19,NEP,Mohd. Laik,398,0.18,MWSP,Jaynath,352,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Barabanki,III,SP,Dharmraj Singh Yadav Urf Suresh Yadav,99453,40.54,BSP,Surendra Singh,69748,28.43,29705,12.11,BJP,Har Govind Singh,67112,27.36,RLD,Brijesh Kumar,1244,0.51,PECP,Arjun Singh,1221,0.50,1622,0.66,4895,2.00,245295,IND,Deepak Yadav,941,0.38,ESP,Anil Kumar,712,0.29,AIMEIM,Mohd. Abul Kalam Qureshi Urf Mohd.Kalam,708,0.29,IND,Sanjay Kumar Balmiki,635,0.26,IND,Amardeep Singh,457,0.19,BSS,Suresh Chandra Srivastava,452,0.18,BMUP,Suneel Kumar,432,0.18,LGP,Mohd. Aftab,321,0.13,Dr.BAD,Mohd. Sami,237,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Zaidpur (SC),III,BJP,Upendra Singh,111064,43.34,INC,Tanuj Punia,81883,31.95,29181,11.39,BSP,Km. Meeta Gautam,48095,18.77,SP,Ramgopal,4383,1.71,IND,Kunj Bihari,2505,0.98,2968,1.16,5389,2.10,256287,PECP,Urmila,1601,0.62,IND,Ramdayal,1209,0.47,BhKD,Gyanwati,719,0.28,LD,Rajkamal Bhaskar,520,0.20,BMUP,Ramphal,518,0.20,Dr.BAD,Lalji,465,0.18,RaJaPa,Gaya Prasad,357,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Dariyabad,III,BJP,Satish Chandra Sharma,119173,46.81,SP,Rajeev Kumar Singh,68487,26.90,50686,19.91,BSP,Mohd.Mubassir,54512,21.41,IND,Suman Mishra,2217,0.87,RLD,Surjeet,2030,0.80,3013,1.18,5138,2.02,254570,IND,Ram Narayan,1263,0.50,ISSP,Usha Dwivedi,1217,0.48,LD,Kapil Muni Yadav,983,0.39,RPI(A),Anirudh Dayal Chaudhary,885,0.35,BMUP,Dhirendra Kumar,790,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Rudauli,III,BJP,Ram Chandra Yadav,90311,42.96,SP,Abbas Ali Zaidi Urf Rushdi Miyan,59052,28.09,31259,14.87,BSP,Firoz Khan Urf Gabbar,47257,22.48,SDU,Pramod Kumar Lodhi,2104,1.00,RLD,Balram Yadav,1707,0.81,2225,1.06,7583,3.61,210239,IND,Girish Tiwari,1342,0.64,IND,Raghvender Singh Verma,1212,0.58,AVP,Mrityunjay Mishra,1106,0.53,IND,Pawan Prajapati,999,0.48,MAP,Sandeep Kumar,747,0.36,BMUP,Syed Suhail Ahmad,683,0.32,JaSP,Vishwajeet Tripathi,541,0.26,SHS,Sant Ram,524,0.25,HAP,Saliman,429,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Haidergarh (SC),V,BJP,Baijnath Rawat,97497,45.52,SP,Ram Magan,63977,29.87,33520,15.65,BSP,Kamala Prasad Rawat,48600,22.69,,,,,,,,,4096,1.91,,,214170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Milkipur (SC),III,BJP,Gorakh Nath,86960,43.51,SP,Awadhesh Prasad,58684,29.36,28276,14.15,BSP,Ramgopal,46027,23.03,IND,Prem Kumar,1630,0.82,BMUP,Uma Shankar,1380,0.69,2727,1.36,2458,1.23,199866,MAP,Desh Raj,1359,0.68,IND,Karan Rawat,1099,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Bikapur,V,BJP,Shobha Singh Chauhan,94074,42.20,SP,Anand Sen,67422,30.25,26652,11.95,BSP,Jitendra Singh,49690,22.29,AIMEIM,Juver Ahmad,3275,1.47,BMUP,Azaharuddin,1643,0.74,2257,1.01,4555,2.04,222916,RLD,Alok Dwivedi,1261,0.57,MAP,Ram Janak,1038,0.47,IND,Dasrath Kumar Singh,952,0.43,IND,Rajendra,832,0.37,ACP,Anil Kumar,472,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Ayodhya,V,BJP,Ved Prakash Gupta,107014,49.20,SP,Tej Narayan Pandey Alias Pawan Pandey,56574,26.01,50440,23.19,BSP,Mo. Bazmi Siddeke,39554,18.19,BMUP,Banshi Lal Yadav,5661,2.60,AP,Sushil Jaiswal,1635,0.75,1544,0.71,5506,2.53,217488,CPI,Suryakant Pandey,1353,0.62,ACP,Dr. Ripunjay Singh,737,0.34,RLD,Dharmendra Kumar Uppadhyay,644,0.30,JANP,Devki Nandan Maurya,585,0.27,JP(S),Mahesh Kumar Nishad,532,0.24,IND,Radhe Shyam Shrivastava,492,0.23,RPI(A),Pradeep Kumar Kori,406,0.19,MAP,Deelip Chaudhari,398,0.18,CPI(ML)(L),Akhilesh Kumar Alias Akhilesh Chaturvedi,359,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Goshainganj,V,BJP,Indra Pratap Alias Khabbu Tiwari,89586,39.41,SP,Abhay Singh,77966,34.30,11620,5.11,BSP,Dharmraj Nishad,46528,20.47,NISHAD,Ram Nayan,5137,2.26,IND,Nageshwar Prasad Saroj,1284,0.56,2878,1.27,3960,1.74,227339,BMUP,Dr. Amit Patel,1278,0.56,SJRP,Shiv Prakash Kori,1162,0.51,SaShP,Aan Shikhar Shrivastava,862,0.38,MBCOI,Nasib Ali,658,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Katehari,V,BSP,Lal Ji Verma,84358,35.99,BJP,Awdhesh Kumar Dwivedi,78071,33.31,6287,2.68,SP,Jaishankar Pandey,45532,19.42,NISHAD,Ajay Pratap Singh,18721,7.99,CPI(ML)(L),Munir Ahmad,2024,0.86,2235,0.95,3466,1.48,234407,RLD,Dr.Ashok Kumar Sen,1717,0.73,BMUP,Ramanand Nishad,1120,0.48,IND,Zurgham Mehdi,629,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Tanda,V,BJP,Sanju Devi,74768,36.35,SP,Azeemul Haq Pahalwan,73043,35.51,1725,0.84,BSP,Manoj Kumar Verma,49526,24.08,AIMEIM,Irfan Pathan,2070,1.01,SHS,Anil Mishra,1043,0.51,1530,0.74,3720,1.81,205700,RLD,Vinod Kumar Yadow,940,0.46,BMUP,Om Prakash,863,0.42,IND,Nirmala,851,0.41,MAP,Shanti Devi,751,0.37,MBCOI,Agyaram,315,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Alapur (SC),V,BJP,Aneeta,72366,36.59,SP,Sangeeta,59853,30.26,12513,6.33,BSP,Tribhuwan Dutt,58591,29.62,BMUP,Rajmani,1219,0.62,RJDP,R C Gond,1087,0.55,1949,0.99,2737,1.38,197802,IND,Sumpatti Devi,1061,0.54,IND,Asharam,579,0.29,UPRP,Ramesh Kumar,432,0.22,PECP,Chhotelal,340,0.17,RMGP,Rajkumar,325,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Jalalpur,V,BSP,Ritesh Pandey,90309,37.51,BJP,Dr. Rajesh Singh,77279,32.09,13030,5.42,SP,Shankhlal Majhi,58773,24.41,BMUP,Rajesh Kumar Verma,2151,0.89,NISHAD,Jagdish Singh,2123,0.88,1531,0.64,8621,3.58,240787,IND,Salik Ram Chauhan,1557,0.65,JAM,Prem Prakash Maurya,1434,0.60,IND,Rajmani,1276,0.53,RLD,Ravish Chandra Verma,1260,0.52,CPI,Shyamnarayan Panday,1180,0.49,LD,Brijesh Kumar Tiwari,751,0.31,MBCOI,Rampalat,634,0.26,MAP,Pramila Bauddh,529,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Akbarpur,V,BSP,Ram Achal Rajbhar,72325,35.40,SP,Ram Murti Verma,58312,28.54,14013,6.86,BJP,Chandra Prakash Verma,57821,28.30,NISHAD,Shriram,6550,3.21,IND,Ravi Sinha,1528,0.75,1719,0.84,6061,2.97,204316,IND,Tiger Ram Nihor Patel,1475,0.72,CPIM,Raja Ram Nishad,976,0.48,SHS,Nand Kumar Tiwari Rana,800,0.39,MAP,Saroj Sharma,704,0.34,IND,Raghunath,702,0.34,IND,Sriram Verma,625,0.31,BMUP,Nand Lal 'Bharti',430,0.21,JP(S),Rajesh Kumar,349,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
